ticker,sig,n_ins,ceo_cfo,value,adv,ex_spy,ex_iwm
RBA,2023-08-09,4,False,343795.18,80014277.08154678,1376.2945404015413,1724.0918343193446
SABR,2023-08-09,3,True,936058.06,32150101.284788847,-761.2387959614905,-413.4415020436874
AES,2023-08-10,2,False,739690.0,101548865.48942566,-1312.2773975631944,-902.3085717340421
EMBC,2023-08-10,3,True,311076.5,15179541.031370163,-2730.729905810691,-2320.761079981539
LTH,2023-08-10,2,True,725083.18,18049499.924793243,-954.6148139396341,-544.6459881104819
ROG,2023-08-10,2,False,549272.9,21854116.38786316,-1507.1054605184736,-1097.1366346893212
XPOF,2023-08-14,2,True,596280.1,13755726.534118652,-1993.1993590215843,-1636.6683320432583
HROW,2023-08-15,2,True,437290.0,13123330.350551605,-1405.8905587985032,-1146.4509072100466
LYFT,2023-08-15,2,True,1245998.58,206161741.16494656,-871.2809427373431,-611.8412911488864
ONEW,2023-08-15,2,True,364177.44,3683079.9741077423,-718.7537300759586,-459.31407848750194
OPCH,2023-08-15,2,False,1991375.0,78167262.60005951,-518.9179248472225,-259.47827325876574
ALTG,2023-08-16,3,False,386440.0,7751107.801551819,-1183.7369066012257,-1019.2821426638994
ASLE,2023-08-17,4,False,1544301.45,8396351.062688828,2487.339080545348,2773.0774048948533
BY,2023-08-17,4,False,466205.25,2982491.4730644226,-909.9256029732487,-624.1872786237439
FWRD,2023-08-17,3,True,1276186.26,41291262.000198364,696.722748255351,982.4610726048559
HTLD,2023-08-17,2,True,1877545.6,4616702.916555405,-53.07906014233418,232.65926420717068
MQ,2023-08-17,2,False,1375240.0,34741043.998577595,708.3103314814344,994.0486558309393
NEE,2023-08-17,2,False,950900.0,593182473.3834076,-70.27600144599327,215.4623229035116
SKIN,2023-08-17,3,True,663582.25,12767053.405754566,-105.58843669809957,180.1498876514053
CROX,2023-08-18,2,True,398185.68,255012941.7269516,-762.7509504987304,-539.6077279746133
FNKO,2023-08-21,2,True,2939878.98,6476355.049190521,1336.6511525213182,1563.7954734362086
HASI,2023-08-21,10,True,802306.25,34130414.68923569,1574.573614687457,1801.7179356023476
SLRC,2023-08-21,2,False,752600.0,3496845.511164665,101.13148148614545,328.27580240103595
BUSE,2023-08-22,2,False,277035.0,4003841.7965507507,-256.2783735298761,-49.66780017751013
MRCY,2023-08-22,4,True,4329922.15,47061301.67964935,-262.7544820341546,-56.14390868178859
REKR,2023-08-22,2,True,1235500.0,2121245.1455783844,-1802.6898130082523,-1596.079239655886
ET,2023-08-23,2,False,39022500.0,177921433.35833073,802.6078158088146,1012.0094832862047
FTRE,2023-08-23,2,True,782900.0,36830557.87731171,442.9318481908205,652.3335156682107
RRGB,2023-08-24,2,True,2479202.72,4633101.543073654,-2302.015486970851,-2122.5019323255488
OUST,2023-08-28,2,False,458760.0,6668805.414497852,-698.7761814825325,-563.0247312475548
ZBH,2023-08-29,3,False,365790.64,215533954.54193115,-113.38551465330603,-10.795431991722712
ADMA,2023-08-30,2,False,579800.0,12308707.81863451,-157.16205485594617,-35.64847781192385
SPB,2023-08-30,2,True,484402.14,53864390.58944702,-278.7507427854209,-157.2371657413986
VVV,2023-08-30,2,True,501055.04,67418047.12722778,-92.58400343052053,28.929573613501805
WEST,2023-08-30,2,False,374259.45,2369501.505765915,-843.1413656525447,-721.6277886085223
SPRY,2023-08-31,3,False,29450000.0,2227383.613629341,-4501.412871296111,-4151.45559621513
FLWS,2023-09-11,2,True,342450.0,3827206.679189205,33.802629778506045,222.8299577886789
GME,2023-09-11,2,False,372626.24,59296455.611629486,-653.4800212851654,-464.4526932749926
BHRB,2023-09-12,3,True,267950.0,2138906.7984962463,-638.3500130853939,-467.59176318709433
MIRM,2023-09-13,2,True,553266.1,12030217.813425064,-422.3853980844114,-46.769612629622145
VIRT,2023-09-13,2,True,1110550.0,12034483.997249603,324.6539021630282,700.2696876178175
AXTA,2023-09-14,3,False,1052955.0,49578458.087654114,15.197341202990087,474.01497685991967
PSEC,2023-09-14,2,True,1112253.2,9423270.506284237,-240.80257524157642,218.01506041535316
VTS,2023-09-14,2,True,347700.0,6049589.669742584,144.91316182289464,603.7307974798242
APPS,2023-09-18,3,False,450056.0,13140017.282502651,-1449.5524967214244,-1230.235972269471
GRNT,2023-09-18,5,True,283820.0,4751077.19263792,1103.9007069608112,1323.2172314127647
HAIN,2023-09-19,2,True,404800.0,12565320.272445679,489.98118812437383,770.9412035640834
IOVA,2023-09-19,2,False,26555600.0,41705262.04301596,-3785.698911255728,-3504.7388958160186
